"name","address","rankingPosition","rating","description","numberOfReviews","priceLevel","priceRange"
"Le Butcher","36 rue de Berri, 75008 Paris France","504","4.5",,"607","$$ - $$$","$9 - $17"
"Le Cafe de Mars","11 rue Augereau, 75007 Paris France","538","4.5",,"478","$$ - $$$","$21 - $35"
"Le Potager de Charlotte","12 rue de la Tour D Auvergne, 75009 Paris France","535","4.5","« Le Potager de Charlotte » was created by two brothers, sons of an innkeeper. Both brothers are passionate about health, the environment, and animal rights. « At Le Potager de Charlotte, we aim to demonstrate the richness and delicacy of plant based cuisine made from fresh, local, seasonal and organic produce. »","405","$$ - $$$",
"Oplato","69 rue de Charonne, 75011 Paris France","574","4.5",,"173","$$ - $$$","$10 - $50"
"Wrap 'N Roll Sushi","10 rue de Budapest, Paris France","567","4.5",,"473","$$ - $$$",
"Les Climats","41 rue de Lille, 75007 Paris France","561","4.5","LES CLIMATS : The paradise of Burgundy Wines... For anyone who loves Burgundy, the name already says it all, passionately. Carole Colin and Denis Jamet have opened Les Climats restaurant to share their passion for Burgundy wines... Situated in one of Paris's most prestigious districts, on the left bank, behind the Musee d'Orsay, the Maison des Dames des PTT building at 41 rue de Lille, is one of the very few Parisian example of the ""Arts and Crafts"" movement. The building was originally a 111-room boarding house for public telephone company switchboard operators. Meals were served in a dining room opened onto a winter garden. This charming location is now home to the Les Climats restaurant. The wine list is astonishing : 210 wine makers, 1,200 references, from €15 to €7,636, 3,350 bottles of red and 3,350 bottles of white in the day-cellars, 12,800 bottles in the main wine cellar and 15 wines that can be ordered by the glass (from €5 to €16) There are additions to the wine selection nearly every week","894","$$$$","$36 - $150"
"Chez Germaine","30 rue Pierre Leroux, 75007 Paris France","553","4.5",,"286","$$ - $$$","$18 - $50"
"Eggs & Co","11 rue Bernard Palissy, 75006 Paris France","575","4.5",,"801","$$ - $$$",
"Pierre Sang on Gambey","6 rue Gambey, 75011 Paris France","569","4.5","Two years after « Pierre Sang in Oberkampf », Chef Pierre Sang opened his second restaurant « Pierre Sang on Gambey » only a few steps away. With an intimate, chic and calm decor, high wooden tables and a warm atmosphere, customers will be struck by the friendliness and the love of sharing that characterizes Pierre Sang so well. The open kitchen welcomes everyone to witness the dishes simmering and sizzling in the kitchen. The wine is ready to meet your utmost expectations. From grand cru wines to more modest appellations and excellent natural and organic wines, the wine list is full of treasures for both casual wine novices to serious wine advocates. In 2021, the restaurant on Gambey takes a new direction by moving from 6 to 8 rue Gambey to offer a warmer setting to its customers.","703","$$$$","$25 - $49"
"Melt Oberkampf","74 Rue de la Folie Mericourt, 75011 Paris France","601","4.5",,"516","$$ - $$$","$15 - $35"
"Sorza","51 Rue Saint Louis, 75004 Paris France","583","4.5","Sorza is in the heart of Ile Saint Louis in Paris not far from Notre Dame. This Mediterranean restaurant is of extremely chic and of exquisite taste. Unlike many French restaurants, this restaurant never stops serving; lunch can stretch throughout the afternoon until it is time for that pre dinner drink. At the weekends brunch is also available. The restaurant plays music throughout the day changing the genre as the day moves on, jazz in the morning and afternoon and lounge music in the evening. The d��cor is contemporary and eye catching with black lacquered tables, red walls, candles in little crystal glasses and subtle lighting.","819","$$ - $$$","$20 - $50"
"Rouge Bis","7 Place Blanche 2 Rue de Bruxelles, 75009 Paris France","582","4.5",,"1329","$$ - $$$","$20 - $25"
"6 New York","6 avenue de New York, 75016 Paris France","563","4.5","In front of the the Eiffel Tower and the Orthodox cathedral , within walking distance of museums , Palais de Tokyo , Galliera , Mona Bismarck American Center and museum Of Quai de Branly Cathy and Jerome Gangneux offers gourmet cuisine , inspired by traditional repertory in a contemporary chic setting Looking forward to welcoming you","670","$$$$","$30 - $70"
"La Cantina","11 rue Claude Terrasse, 75016 Paris France","540","4.5",,"390","$$ - $$$",
"La Vache Acrobate","rue Amelot, 75011 Paris France","547","4.5","La Vache Acrobate vous propose un bon repas dans une ambiance bistrot sur déclinaisons de déco rouge velours et noir de jais. Des produits frais et une mise en goût simple mais soignée, la carte mise avant tout sur des valeurs sûres : terrine de campagne, mi-cuit de thon mariné, côte de bœuf ou cheeseburger au bleu d’auvergne caleront tous les appétits, petits et gros.","438","$$ - $$$","$29 - $37"
"Bissac","10 rue de la Bourse 10, Rue de la Bourse, 75002 Paris France","577","4.5","Discover Bissac, a restaurant near Bourse area, serving french gastronomic cuisine. Terrasse, wine cave, and two diner rooms will welcome any kind of event : with friends, romantic dinner, or business meeting.","487","$$ - $$$","$19 - $50"
"Karamna","77 rue Boissiere, 75116 Paris France","544","5","Restaurant Libanais proposant une cuisine raffinée avec des produits de qualités pour vous offrir un repas 100% FAIT MAISON.","94","$$ - $$$","$6 - $25"
"New Balal","25 rue Taitbout, 75009 Paris France","558","4.5",,"432","$$ - $$$","$20 - $25"
"Guibine","44 rue Sainte Anne, 75002 Paris France","560","4.5",,"535","$$ - $$$","$22 - $66"
"A la Biche au Bois","45 avenue Ledru Rollin Metro Gare de Lyon sortie numero 1, 75012 Paris France","536","4.5",,"1104","$$ - $$$","$19 - $37"
"Kheak & Vero","1 rue Alexandre Parodi, 75010 Paris France","565","4.5",,"190","$$ - $$$",
"The Hardware Societe Paris","10 rue Lamarck, 75018 Paris France","548","4.5",,"644","$$ - $$$",
"La Table des Oliviers","4 rue de l Eglise, 92200 Neuilly-sur-Seine France","2","4.5",,"261","$$ - $$$","$40 - $55"
"Restaurant Clementine","5 rue Saint Marc, 75002 Paris France","528","4.5",,"334","$$ - $$$","$25 - $50"
"Le Sens Unique","47 rue de Ponthieu, 75008 Paris France","559","4.5","The One Direction : shared greed! Two steps from the Champs Elysees , Sophie and Bruno rely on the authenticity and passion of their profession: the shared gluttony . In the kitchen, Eric Lethimonnier offers inspired cuisine of Perigord and performs daily suggestions developed respecting seasonality. An amount of attention placed end to end and common sense to treat you .","614","$$ - $$$","$20 - $50"
"Les Artizans","30 rue Montorgueil, 75001 Paris France","593","4.5",,"491","$$ - $$$","$25 - $60"
"Villa Verdi","42 B avenue de Suffren, 75015 Paris France","603","4.5",,"725","$$ - $$$","$10 - $30"
"CORETTA","151 B rue Cardinet 151 Bis rue Cardinet, 75017 Paris France","592","4.5","Restaurant Bistronomique par la chef Beatriz Gonzalez 151bis Rue Cardinet 75017 Paris Ouvert du Mardi au Samedi. Réservations via notre site internet","736","$$$$","$29 - $52"
"Tzeferakos","24 rue Monge, 75005 Paris France","576","5",,"131","$",
"RoofTop Molitor","6 avenue de la Porte Molitor, 75016 Paris France","588","4","Le Chef et sa brigade vous emmèneront cette année dans leur jardin d'été perché sur les toits. Ils y proposent une cuisine à la plancha généreuse et encore plus estival ... Une carte ensoleillée basée sur des produits frais de saison, bio et savoureux.","823","$$ - $$$",
"Le Ruisseau","65 rue du Ruisseau, 75018 Paris France","608","4.5",,"467","$$ - $$$",
"Chez Tony","34 rue Bois le Vent, 75016 Paris France","646","4.5","Vous désirez manger français et êtes en quête d’un établissement au cadre chaleureux et familial où passer la soirée? Bienvenu chez nous! Notre bistro le « Chez Tony » vous accueille dans une petite rue tranquille et calme. Nous vous proposons une cuisine traditionnelle et simple, sans chichis. Nos plats sont savoureux et faits maison, à déguster, bien sûr, avec un bon verre de vin!","205","$$ - $$$","$30 - $60"
"La Taverne de Montmartre","25 rue Gabrielle, 75018 Paris France","584","4",,"1215","$$ - $$$",
"Siseng","82 quai de Jemmapes, 75010 Paris France","508","4.5",,"597","$$ - $$$",
"Vice Versa","71 rue des Voies du Bois, 92700 Colombes France","2","4.5","Find us in Colombes to spend a morning or an evening with us in a space and a purely Italian atmosphere. Enjoy our delicious pizzas, pasta and our delicious recipes for our excellent meat or fish cooked to order.","470","$$ - $$$",
"Distrito Frances Saint Martin","10 rue du Faubourg Saint Martin Restaurant Distrito Francés, 75010 Paris France","615","4.5","Distrito Frances Saint Martin. Our 55-seat Mexican restaurant welcomes you in a warm and friendly setting. On the Menu Gluten-free Tacos, Burritos, the best Guacamole in Paris, Quesadillas and other traditional dishes as well as vegan options. Share cocktails with Tequila, Mezcal and Rum from the pitcher, enjoy our selection of Mexican and world craft beers in the atmosphere of the caliente and relaxed Latin restaurant! In the heart of Paris 10 and a stone's throw from Strasbourg Saint Denis station and Chateau d'eau. Privatization possible.","345","$$ - $$$","$6 - $24"
"Auberge Bressane","16 avenue de la Motte Picquet, 75007 Paris France","597","4.5","A restaurant of traditional French cuisine, Auberge Bressane offers specialties from the region of Lyon and a wide array of Burgundies on its wine list. In an authentic decor dating back to the 19th century, you can come taste our famous coq au vin (rooster in a wine sauce), hare à la Royale or quenelles de brochet (pike dumplings). For dessert, you will have to make a choice between our baked Alaska, soufflés with salty butter caramel and other tempting sweet treats. Our seasonal menus change regularly, such as game during the hunting season!","664","$$$$","$20 - $40"
"Le Pavillon de la Grande Cascade","1 allee de Longchamp Bois de Boulogne, 75116 Paris France","551","4.5","La Grande Cascade is a gourmet restaurant located in the heart of the Bois de Boulogne. For a romantic dinner in winter or an alfresco lunch on a sunny day in summer, La Grande Cascade is the perfect rendezvous for anyone who loves fine dining and beautiful scenery in Paris. Yet La Grande Cascade has not always been a restaurant, and this explains its unusual and truly exceptional decor. It was originally a lodge where Napoleon III, who came to the Bois de Boulogne to hunt, could take a rest. Over the years, La Grande Cascade has changed with the times while maintaining its unique ""retro-modern"" style. Inside, the gilding, chandeliers and mirrors offer a distinct charm to a residence that has retained its period magnificence.","1102","$$$$","$80 - $237"
"Ty Galettes","218 rue de Vaugirard, 75015 Paris France","571","5",,"132","$","$10 - $15"
"BAAGAA Trocadero","54 rue de Longchamp, 75116 Paris France","552","4.5",,"468","$$ - $$$","$12 - $20"
"L'Atelier du Marche","4 rue Saussier Leroy, 75017 Paris France","596","4.5","The French cuisine we like! Nothing fancy, a selection of fresh products, a warm and cosy 'bistrot' ambiance, where regular guests love to come and have a drink (or two!!). Here we only serve what we like, and the wine list is wide!","431","$$ - $$$","$24 - $49"
"Les Antiquaires","13 rue du Bac, 75007 Paris France","594","4.5",,"2004","$$ - $$$","$11 - $25"
"Le Hangar","12 impasse Berthaud, 75003 Paris France","585","4.5",,"487","$$ - $$$",
"Dessance","74 Rue des Archives Near the Centre Pompidou, 75003 Paris France","595","4.5","A unique fine-dining restaurant: a brand new concept where seasonal vegetables, fruits and plants take on a whole new dimension. Healthy and delicious, sculptural culinary creations served with natural and top-quality drinks, in an intimate and modern setting where time stands still and the spirit can relax.Dinner: Carte Blanche tasting menus, »Vegetarian » at 64€ and « earth and see » at 72€","539","$$$$","$65 - $120"
"L'Ebauchoir","43 rue de Citeaux, 75012 Paris France","554","4.5",,"826","$$ - $$$","$13 - $45"
"Le Petit Pontoise","9 rue de Pontoise 9 Rue de Pontoise, 75005 Paris France","590","4.5","AMBIANCE BISTROT - Attention, institution du cinquième arrondissement ! Le chef vous prépare une cuisine savoureuse, inspirée des recettes de son enfance dans le Périgord. La cuisine est préparée à la commande avec des produits frais et de qualité (légumes exceptionnels d'un maraîcher du Nord). INCONTOURNABLE - Découvrez le menu-déjeuner à l'ardoise, qui change tous les jours en fonction du marché. S'y ajoute une belle sélection de vins proposés en bouteille, au verre ou à la ficelle. UN LIEU D'HABITUÉS - Tous les jours, un bouquiniste des quais de Seine vient déjeuner au Petit Pontoise… Le chef lui prépare un plat sur mesure, avec un verre de vin ou un verre d'eau gazeuse. Le prix de son déjeuner n'a pas varié depuis 10 ans.","1205","$$ - $$$","$29 - $50"
"Semilla","54 rue de Seine, 75006 Paris France","606","4.5",,"1250","$$ - $$$",
"Tavola Di Gio","210 boulevard Raspail, 75014 Paris France","586","4.5",,"491","$$ - $$$",
"Chez Maxence","52 rue Legendre, 75017 Paris France","534","4.5",,"242","$",
"L'Express de Lyon","1 rue de Lyon, 75012 Paris France","579","4.5","Parisian bar near the Gare de Lyon, which offers 15 beers on tap, and an affordable cuisine and homemade. The bar is run by two brothers, in a pleasant atmosphere. They are the fourth generation of the family in these walls.","309","$","$13 - $20"
"Le Refuge du Passe","32 rue du Fer a Moulin Les Gobelins, 75005 Paris France","613","4.5","In a setting of the roaring twenties, Chief Alexander offers traditional French cuisine, specialties of renowned among which the famous Ham with mushrooms and the inescapable Braised beef cooked in Gaillac red Wine will delight you and your guests. Film posters of the 50s, photographs of the great French actors and singers (De Funes, Piaf etc.), and retro but elegant musical atmosphere, contribute to the nostalgia of this unique place in Paris. Dishes are served in cups and pans, and the menu deals with local and seasonal products. Finally, located right in front of the Scipion Garden, not far from Boulevard Saint Marcel, Le Refuge du Passé restaurant remains in quiet and particularly peaceful surroundings. Easy parking in the neighborhood! Bon appétit!","285","$$ - $$$","$17 - $50"
"Bistrot Chic","54 Av. Felix Faure, 75015 Paris France","580","4.5",,"491","$$ - $$$",
"Ristorante Pizzeria Doni","45 avenue Paul Doumer, 93330 Neuilly-sur-Marne France","3","4.5",,"171","$$ - $$$",
"L'Escargot 1903","18 rue Charles Lorilleux, 92800 Puteaux, La Defense France","3","4.5","
","594","$$$$","$30 - $80"
"Verjus","52 rue de Richelieu dans le passage Beaujolais, 75001 Paris France","539","4.5",,"609","$$$$",
"Le Triskell","17 avenue Albert 1er, 95600 Eaubonne France","1","4.5","Venez decouvrir nos specialites , dans un cadre traditionnel et une ambiance chaleureuse .L'Equipe du TRISKELL est heureuse de vous accueillir du Mardi au Samedi de 12h a 14h00 et de 19h a 22h ( 23h pour le vendredi et le samedi) Information importante : UNIQUEMENT pour les vendredis et samedis soirs,le restaurant vous propose deux services 1er service a partir de 19:00 ( tables reprises a 21h15 pour le second service)2nd service : 21h15","577","$$ - $$$","$10 - $30"
"Cafe de la Butte","71 rue Caulaincourt, 75018 Paris France","647","4.5",,"252","$$ - $$$",
"Restaurant Chinois Di-Choulie A Paris","11 rue Primatice A 2 Min. A Pied de la Place D'italie a Paris 13eme, 75013 Paris France","543","4.5",,"247","$",
"Tentazioni","86 B rue Lepic métro ligne 12 : Abbesses, Lamarck-Caulaincourt ; métro ligne 2 : Blanche, Pigalle, 75018 Paris France","557","4.5","In front of the Moulin de la Galette, this italian restaurant of Montmartre is maybe the better one with his fresh and home made italian traditionnal food. This family restaurant offer a large choise of typicals courses cooked in the open kitchen near to a nice courtyard. Taste it!","1296","$$ - $$$","$22 - $36"
"L'Artisan Libanais","91 rue de Belleville, 75019 Paris France","643","4.5","The authenticity combined with modernity .. Canteen ""Lebanese workshop"" in the middle of a corner shop! You can buy spices, teas colored powder intoxicating scents reminiscent of our childhood, afandelo (Clementine liquors), real Aleppo soap, Lebanese beer in limited edition, handmade wicker baskets. In the kitchen, only fresh! everything is home to the Pastry.","370","$$ - $$$","$5 - $20"
"U Mulinu","28 Boulevard de l'Hopital, 75005 Paris France","626","4.5",,"425","$$ - $$$","$9 - $22"
"La Promenade","32 avenue Daumesnil, 75012 Paris France","632","4.5",,"297","$$ - $$$","$12 - $30"
"Chez Vincent","56 rue Saint Georges, 75009 Paris France","619","4.5",,"283","$$ - $$$",
"Les Darons","104 rue Caulaincourt, 75018 Paris France","617","4.5","We are Natural Wine Bar with a selection beyond 450 wines mostly from France. The Menu Changes everyday","132","$",
"Pedzouille La Grange","4 avenue de la Porte de la Plaine Rooftop - 8ème Étage Du Novotel Porte De Versailles, 75015 Paris France","635","4.5",,"463","$$ - $$$",
"Chez Paolo","21 rue Pierre Fontaine, 75009 Paris France","665","4.5",,"599","$$ - $$$",
"Pratolina","11 Boulevard De Bonne Nouvelle, 75002 Paris France","634","4.5",,"432","$$ - $$$","$12 - $21"
"Phenice Restaurant","7-9 rue du Conservatoire Hôtel de Nell, 75009 Paris France","607","4.5",,"931","$$ - $$$","$39"
"Le Petit Nuage","51 rue Basfroi, 75011 Paris France","570","5",,"65","$$ - $$$",
"Via Del Gusto","334 rue de Vaugirard, 75015 Paris France","629","4.5","Laissez-vous guider à travers un voyage gastronomique inoubliable qui vous fera découvrir les meilleures saveurs de la cuisine italienne. Notre Brasserie italienne située à Paris dans le 15e arrondissement, proche de Porte de Versailles. Nous sommes prêts pour vous accueillir tous les jours afin de déguster des plats typiques avec des produits finement sélectionnés dans un cadre agréable et une ambiance chaleureuse.","618","$$ - $$$","$10 - $26"
"Will","75 rue Crozatier, 75012 Paris France","618","4.5",,"336","$$$$",
"Mondol Kiri","159 avenue de Choisy, 75013 Paris France","638","4.5",,"506","$$ - $$$","$46"
"ISANA","7 rue Bourdaloue, 75009 Paris France","587","4.5","ISANA is a restaurant that proposes a trip to the flavour of South America so when you come to ISANA, you will eat some ceviches from Peru, some carnitas from Mexico or some empanadas from Argentina. The food is fresh and healthy, the place is colourful and lively. On Sunday, we propose a great brunch that makes you travel around South America. Come to celebrate New Year with us! We have a great menu with South American taste! You can have a look on our events and menus on our website. Nos vemos pronto;)","152","$$ - $$$","$12 - $25"
"Bianca","2 rue du 4 Septembre, 75002 Paris France","496","4.5",,"224","$$ - $$$",
"Le Pantruche","3 rue Victor Masse SouthPi district, 75009 Paris France","581","4.5","Le Pantruche offers a genuine Bistro style cuisine within a friendly atmosphere in the heart of Paris-Pigale's district","585","$$ - $$$","$18 - $35"
"Cedars","101 avenue Jean Jaures, 75019 Paris France","537","4.5","Cedars is the largest Lebanese restaurant in the 19th arrondissement of Paris. It owes its success to the quality of its service and dishes, carefully prepared with fresh and seasonal products. Everything is homemade and in the recognition of Lebanon: the recipes come from traditional Lebanese cuisine. Cedars offers mezzés with traditional hummus, falafels, cheese rikakat and tabbouleh, as well some delicious wood-fired grills, Chawarma Chicken, and many other specialties. Even the desserts are a unique experience to taste: you have the choice between a Baklawa and a Lebanese mouhallabie flan flavored with orange blossom.","261","$","$9 - $14"
"L'Acanthe","22 rue Saint Martin, 75004 Paris France","621","4.5","Restaurant traditionnel avec des touches de cuisine fusion . Carte éphémère de produits frais qui change tous les 7 à 10 jours.","302","$$ - $$$",
"Sesame & Sel","11 B rue Roger Salengro 94270, 94270 Kremlin Bicetre France","1","4.5",,"334","$$ - $$$",
"Restaurant Diwali","21 avenue de Colmar, 92500 Rueil-Malmaison France","1","4.5","Welcome to Diwali, Located in Rueil-Malmaison, a few minutes from La Défense, the Diwali restaurant is open 7/7 for lunch and dinner. It offers quality Indian and Caribbean cuisine with a wide choice of traditional dishes of Haute Gastronomie. Cozy and airy space, terrace and free and free parking. It is the ideal place for your business meals, with friends or family. He organizes your private and professional events (quotes on request) in a chic and relaxed setting. Rare fact for a high-end establishment: Home delivery service with a 15% discount Potty dishes with a 20% discount. See you soon, The direction","767","$$ - $$$","$28 - $46"
"L'Echoppe de Paris","16 rue Leon Frot, 75011 Paris France","637","4.5",,"428","$$ - $$$","$10 - $25"
"Les Fines Gueules","43 rue Croix des Petits Champs, 75001 Paris France","616","4.5",,"527","$$ - $$$","$30 - $37"
"La Ferrandaise","8 rue de Vaugirard, 75006 Paris France","633","4.5",,"727","$$ - $$$","$16 - $65"
"Don Camilo","10 rue des Saints Peres Saint-Germain des Pres, 75007 Paris France","644","4.5","Don Camilo located in the heart of St Germain in Paris near existed since 1953 home in a setting of the artist these ar ""singers and comedians. Lama, Nougaro, Leeb, The Tomboy, Laurent Laurent Gerra Ruquier or have (among many others ...) Made ​​their debut on the legendary scene of Don Camilo. Our rooms also allow us to organize seminars, lunches for groups, cocktail, evening buffet supper and musical atmosphere to the end of the night . We are a year-round service for the realization of your project wholes.","528","$$$$","$49 - $146"
"Comptoir de la Gastronomie","34 rue Montmartre, 75001 Paris France","614","4.5","The shop and the restaurant are closing for renovation works from 30th January to 3rd April 2017 Traditionnal french cuisine specialized in South Ouest products. Discover our "" Classics "" composed of different kind of foie gras: pan seared, terrine or carpaccio... homemade and our well known Duck breast, Cassoulet or Snails. For fish lovers, you can taste our Scottish smoked salmon or marinated salmon Gravlax. And you can also appreciate our seasonal menu made by our Chef with fresh products. For the "" Gourmets"" who wish to bring back home some foie gras, our shop is open from 9.00 am to 8.00 pm.","1346","$$ - $$$","$25 - $40"
"Le Galopin de LuLu","Bastille 24 rue des Taillandiers, 75011 Paris France","620","4.5","Make a toast with your colleagues or with your family to enjoy a joyful, friendly and unpretentious kitchen where we carefully select products depending of the seasons. Bar or brasserie, this place where you can stay few minutes or hours is an universal shelter. Whether you're passing throught, thinking about changing the world or just staying away from a bad weather, the bistrot ""Le Galopin de Lulu"" is your meeting and entertainment place.","411","$$ - $$$",
"IL Gigolo","11 rue de la Huchette, 75005 Paris France","605","4",,"1019","$$ - $$$",
"la Massara","70 rue de Turbigo, 75003 Paris France","622","4.5",,"821","$$ - $$$","$16 - $35"
"Bistrotters","9 rue Decres, 75014 Paris France","652","4.5","We own a charming and authentic bistro from 1900 and we simply offer fresh products from ""le marche"" that our Chef Martin de los Santos Cal puts together to create very tasty French cuisine. French and world cuisine because we litterally are globe trotters of bistros. We travel for food and we bring back authentic flavours from around the globe. We do everything to make you feel at home and very welcome in our restaurant. Only one saying guides us : the pleasure to please! We are opened everyday for lunch and dinner. See you soon at BISTROTTERS!","2454","$$ - $$$","$15 - $45"
"Atelier Cook And Thi","35 Chemin de l Ariel, 78430 Louveciennes France","1","5",,"63","$$ - $$$","$14 - $45"
"Restaurant Issy Guinguette","113 B avenue de Verdun, 92130 Issy-les-Moulineaux France","2","4.5",,"580","$$ - $$$","$27 - $50"
"Creperie de Port-Manech","52 rue du Montparnasse, 75014 Paris France","600","4.5",,"656","$$ - $$$","$9 - $30"
"Di Carla","4 avenue Carnot, 75017 Paris France","610","4.5",,"362","$$ - $$$","$15 - $22"
"142 Creperie Contemporaine","59 rue Saint Charles, 75015 Paris France","630","4.5",,"597","$$ - $$$",
"Cafe Bolivar","31 avenue Secretan, 75019 Paris France","604","4.5",,"228","$$ - $$$","$18 - $33"
"Cocorico","5 rue du Bac, 75007 Paris France","625","4.5",,"465","$$ - $$$","$20 - $40"
"Cocotte Et Vins","1 rue Fulton, 94210 Saint-Maur-des-Fosses France","5","4.5",,"240","$$ - $$$","$16 - $40"
"Bistrot 31","31 avenue Theophile Gautier, 75016 Paris France","602","4.5","The Bistrot 31 welcomes you in a friendly atmosphere. The team is at your service and all our dishes are homemade, with love, to the rhythm of the seasons.","592","$$ - $$$","$37"
"Restaurant Pourquoi Pas?","52 boulevard D Alsace Lorraine, 94170 Le Perreux-sur-Marne France","2","4.5","Formules de 19 Euros à 36 Euros. Menu enfant à 15 Euros. Belle carte des vins avec plus de 80 références ainsi que des Grands Vins, Crus Bourgeois et Grands Crus. Privatisation, anniversaires, baptêmes, communions, séminaires, meetings, ... Ambiance cosy, Jardin d'été, Terrasse couverte climatisée et chauffée, Parking. Produits de Saison. Cuisine traditionnelle revisitée inspirations Provençales, Méditerranéennes et sucré. Carte renouvelée toutes les semaines. Groupes acceptés sur réservation jusqu'à 55 couverts avec menu personnalisé sur demande. Réservation recommandée pour le mardi, jeudi soir, vendredi midi, soir et samedi soir.","493","$$ - $$$","$9 - $120"
"Augustin Bistrot","79 rue Daguerre, 75014 Paris France","624","4.5",,"746","$$ - $$$",
"Le Petit Gourmet","59 B avenue du Bac, 94210 Saint-Maur-des-Fosses France","6","4.5",,"228","$$ - $$$","$17 - $39"
"La Petite Bouclerie","33 rue de la Harpe, 75005 Paris France","611","4.5",,"470","$",
"Le Comptoir des Petits Champs","17 rue des Petits Champs, 75001 Paris France","636","4.5",,"454","$$ - $$$",
"Pasco","74 boulevard de la Tour Maubourg, 75007 Paris France","687","4.5",,"1211","$$ - $$$","$1 - $35"
"Massawa","22 rue du Chateau Landon 75010, 75010 Paris France","678","4.5",,"347","$",
"Aupa Caminito","48 rue du Dessous des Berges 31 Rue Cantagrel, 75013 Paris France","672","4.5","Aupa is the ultimate Parisian comfort food. We fusion two monsters, the French croissant and the international Burger. We decline it in many ways, you HAVE to try. Come meet us in our very chill place “brocante” style, you will meet cool kids there :)​​","214","$","$5 - $25"
"Le Coq et l'Elephant","1 rue des Fosses Saint Marcel, 75005 Paris France","682","5",,"85","$$$$",
"Il Sorrentino","4 rue de Monttessuy, 75007 Paris France","641","4.5",,"698","$$ - $$$",
"Le Verre Galant","256 rue de la Croix Nivert, 75015 Paris France","612","4.5","Malgré toutes les chaînes de restos qui poussent dans le quartier attractif de Porte de Versailles, le Verre Galant résiste. Toujours présent pour vous servir des mets de qualité, simples et 100% maison : Viande charolaise sélectionnée par nos soins, poissons frais, frites fraîches que l'on coupe tous les matins (et oui ça existe encore!). Dîner en amoureux, se retrouver en famille ou entre copains pour regarder un match du week end, venez, vous ne serez pas déçus de l'expérience.","856","$$ - $$$","$20 - $30"
"Accents Table Bourse","24 rue Feydeau, 75002 Paris France","645","4.5",,"217","$$$$",
"Le Chateau des Iles","85 quai Winston Churchill La Varenne Saint Hilaire, 94210 Saint-Maur-des-Fosses France","4","4.5",,"653","$$$$","$48 - $78"
"Huitrerie Regis","3 rue de Montfaucon, 75006 Paris France","648","4.5","The Huîtrerie Régis is a place of life where we meet and enjoy food as a shared experience. We are dedicated to offer the best products that our land has to offer. All our producers, Oyster farmers and winemakers share the same philosophy. Good work, respect for the earth, and the sense of sharing are values that unite us and portray us. So, take a seat to enjoy fresh oysters delivered daily from the producer and a bit more !","718","$$ - $$$","$26 - $35"
"Saucisson et beaujolais","4 rue du Bel Air, 92500 Rueil-Malmaison France","2","4.5",,"447","$$ - $$$",
"Le Bistrot d'Henri","16 rue Princesse, 75006 Paris France","662","4.5",,"963","$$ - $$$",
"Restaurant italien la gourmandise","28 rue Augereau, 75007 Paris France","609","4.5","la gourmandise restaurant italien petit escale italienne proche de la tour eiffel installée à 28 rue augerau paris 7eme. vous permet de découvrir les saveurs locales de la cuisine italienne riche en saveurs avec ses produits frais ses spécialités maison le cadre a un charme typique italien qui vous transporte à Venise venez nous rendre visite !","416","$",
"L'Aller Retour","5 rue Charles Francois Dupuis, 75003 Paris France","628","4.5",,"666","$$ - $$$","$28 - $55"
"tama-sushi","19 rue d Antin, 75002 Paris France","671","4.5",,"246","$$ - $$$","$15 - $37"
"Le Bistrot Des Campagnes","6 rue Leopold Robert, 75014 Paris France","650","4.5",,"727","$$ - $$$","$12 - $32"
"Chez Mademoiselle","16 rue Charlemagne, 75004 Paris France","658","4.5","Near the ""Marais"", situated behind the Village Saint Paul, it is a cosy Parisian restaurant. Traditional recipes, quality of food, dynamic and attentive team, this is the secret of this popular place, owned by a young couple that explains his success by the pleasure they have to own a warm place ""full of amazing characters"".","553","$$ - $$$","$15 - $30"
"Dalia","93 Rue Montmartre, 75002 Paris France","675","4.5",,"334","$$ - $$$",
"L'Encrier by DO","55 rue Traversiere, 75012 Paris France","654","4.5","With the change of ownership, from 23/11/2021, we invite you to discover the new atmosphere of the restaurant L'ENCRIER","419","$$ - $$$","$71"
"Le George","31 avenue George V, 75008 Paris France","659","4.5","Le George at Four Seasons Hotel George V, Paris offers a light and modern Mediterranean-style cuisine, bursting with flavour and freshness.","940","$$$$","$65 - $110"
"7eme vin","68 avenue Bosquet, 75007 Paris France","667","4.5","En attendant la réouverture du restaurant, le 7è VIN vous propose ses spécialités à emporter. Un choix d'entrées, de plats et de desserts est proposé chaque jour, ainsi qu'une sélection de vins à des tarifs caviste. Pour en savoir plus, suivez-nous sur Instagram 7EMEVIN Hervé ; le menu et les photos sont mis en ligne chaque jour dans notre Story. A très vite !","1042","$$ - $$$","$41 - $62"
"20 Eiffel","20 rue de Monttessuy, 75007 Paris France","663","4.5",,"552","$$ - $$$","$24 - $55"
"Pleine Terre","15 rue de Bassano, 75116 Paris France","717","4.5","The Pleine Terre restaurant is located in the Chaillot district, a few steps from the Avenue des Champs-Elysées. A discreet address away from the crowds. Chef Jimmy Desrivieres and his team offer traditional French cuisine, marked by the subtle and controlled presence of spices and citrus fruits. The private lounge can accommodate up to 12 guests.","132","$$$$","$38 - $95"
